"","id_spotify","score","title_rs","title_sp","artist_rs","artist_sp"
"16411",91544,0.5,"My Girl","Stay","The Temptations","['The Temptations']"
"16412",91544,0.38,"Just My Imagination","Stay","The Temptations","['The Temptations']"
"16413",91554,0.32258064516129,"Hey Ya!","Slump","OutKast","['OutKast']"
"16414",91560,0.351851851851852,"Respect","A Rose Is Still a Rose","Aretha Franklin","['Aretha Franklin']"
"16415",91560,0.311475409836066,"Chain of Fools","A Rose Is Still a Rose","Aretha Franklin","['Aretha Franklin']"
"16416",91570,0.403225806451613,"I Fought the Law","Let Her Dance","The Bobby Fuller Four","['The Bobby Fuller Four']"
"16417",91601,0.591836734693878,"Rappers Delight","Rapper's Delight","Sugarhill Gang","['The Sugarhill Gang']"
"16418",91653,0.326923076923077,"Superstition","Isn't She Lovely","Stevie Wonder","['Stevie Wonder']"
"16419",91653,0.320754716981132,"Higher Ground","Isn't She Lovely","Stevie Wonder","['Stevie Wonder']"
"16420",91653,0.326923076923077,"Superstition","Isn't She Lovely","Stevie Wonder","['Stevie Wonder']"
"16421",91678,0.377049180327869,"Just My Imagination","Just My Imagination","The Temptations","['The Cranberries']"
"16422",91703,0.372881355932203,"Seven Nation Army","Hello Operator","The White Stripes","['The White Stripes']"
"16423",91779,0.459016393442623,"I Shot the Sheriff","I Shot The Sheriff","Bob Marley and the Wailers","['The Wailers']"
"16424",91785,0.392857142857143,"Seven Nation Army","Hotel Yorba","The White Stripes","['The White Stripes']"
"16425",91794,0.311111111111111,"One More Time","Crescendolls","Daft Punk","['Daft Punk']"
"16426",91799,0.303030303030303,"99 Problems","Song Cry","Jay-Z","['JAY-Z']"
"16427",91811,0.377777777777778,"Last Nite","When It Started","The Strokes","['The Strokes']"
"16428",91829,0.318181818181818,"Blue Eyes Crying in the Rain","On the Road Again","Willie Nelson","['Willie Nelson']"
"16429",91843,0.318181818181818,"One More Time","Superheroes","Daft Punk","['Daft Punk']"
"16430",91885,0.333333333333333,"Get Up","Easy Skanking","Bob Marley and the Wailers","['Bob Marley & The Wailers']"
"16431",91885,0.328571428571429,"Redemption Song","Easy Skanking","Bob Marley and the Wailers","['Bob Marley & The Wailers']"
"16432",91885,0.328571428571429,"Redemption Song","Easy Skanking","Bob Marley and the Wailers","['Bob Marley & The Wailers']"
"16433",91889,0.424242424242424,"Clocks","Amsterdam","Coldplay","['Coldplay']"
"16434",91890,0.459016393442623,"I Shot the Sheriff","I Shot The Sheriff","Bob Marley and the Wailers","['The Wailers']"
"16435",91909,0.328125,"Get Up","Natural Mystic","Bob Marley and the Wailers","['Bob Marley & The Wailers']"
"16436",91911,0.304347826086957,"I Shot the Sheriff","Jamming","Bob Marley and the Wailers","['Bob Marley & The Wailers']"
"16437",91911,0.359375,"Redemption Song","Jamming","Bob Marley and the Wailers","['Bob Marley & The Wailers']"
"16438",91911,0.359375,"Redemption Song","Jamming","Bob Marley and the Wailers","['Bob Marley & The Wailers']"
"16439",91911,0.368421052631579,"Get Up","Jamming","Bob Marley and the Wailers","['Bob Marley & The Wailers']"
"16440",91930,0.357142857142857,"Young Americans","Young Americans - Single Version; 2002 Remaster","David Bowie","['David Bowie']"
"16441",91954,0.424242424242424,"Clocks","A Whisper","Coldplay","['Coldplay']"
"16442",91963,0.525252525252525,"Thank You (Falettinme Be Mice Elf Agin)","Thank You (Falettinme Be Mice Elf Agin) - single master","Sly and the Family Stone","['Sly & The Family Stone']"
"16443",91966,0.761904761904762,"Suspicious Minds","Suspicious Minds","Elvis Presley","['Elvis Presley']"
"16444",91966,0.313725490196078,"Hound Dog","Suspicious Minds","Elvis Presley","['Elvis Presley']"
"16445",91966,0.761904761904762,"Suspicious Minds","Suspicious Minds","Elvis Presley","['Elvis Presley']"
"16446",91984,0.441176470588235,"Maps","Y Control","Yeah Yeah Yeahs","['Yeah Yeah Yeahs']"
"16447",92021,0.307692307692308,"Last Nite","You Talk Way Too Much","The Strokes","['The Strokes']"
"16448",92025,0.333333333333333,"99 Problems","Interlude","Jay-Z","['JAY-Z']"
"16449",92030,0.380281690140845,"Dont Let Me Be Misunderstood","Don't Let Me Be Misunderstood","The Animals","['Santa Esmeralda']"
"16450",92049,0.333333333333333,"In Da Club","If I Can't","50 Cent","['50 Cent']"
"16451",92077,0.769230769230769,"In Da Club","In Da Club","50 Cent","['50 Cent']"
